"filename", "language", "JSON", "JSON with Comments", "CSS", "YAML", "JavaScript", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"e:\practice-0806\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"e:\practice-0806\.prettierrc.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\practice-0806\README.en.md", "Markdown", 0, 0, 0, 0, 0, 0, 77, 0, 0, 29, 106
"e:\practice-0806\README.es.md", "Markdown", 0, 0, 0, 0, 0, 0, 77, 0, 0, 29, 106
"e:\practice-0806\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 81, 0, 0, 33, 114
"e:\practice-0806\README.pl.md", "Markdown", 0, 0, 0, 0, 0, 0, 84, 0, 0, 34, 118
"e:\practice-0806\jsconfig.json", "JSON with Comments", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\practice-0806\package-lock.json", "JSON", 24990, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24991
"e:\practice-0806\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"e:\practice-0806\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 3, 51
"e:\practice-0806\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 48, 25, 2, 75
"e:\practice-0806\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\practice-0806\src\components\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 5, 5, 36
"e:\practice-0806\src\components\Cast\Cast.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 7, 37
"e:\practice-0806\src\components\Form\Form.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"e:\practice-0806\src\components\Loader\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"e:\practice-0806\src\components\Loader\Loader.styled.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"e:\practice-0806\src\components\MovieInfo\MovieInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"e:\practice-0806\src\components\MoviesList\MoviesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"e:\practice-0806\src\components\Reviews\Reviews.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"e:\practice-0806\src\components\SharedLayout\SharedLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"e:\practice-0806\src\index.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\practice-0806\src\index.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\practice-0806\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"e:\practice-0806\src\pages\MovieDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 11, 69
"e:\practice-0806\src\pages\Movies.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"e:\practice-0806\src\services\api.js", "JavaScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 8, 57
"e:\practice-0806\uk_translation.yml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 25070, 6, 13, 23, 74, 272, 319, 96, 30, 211, 26114